district,type,state,nces_id,team_name,project_count,assigned_manager
New York City Geographic District # 6,Regular school,NY,360008303681,Odyssey,2,Troy Collins
Bozeman Elem,Regular school,MT,300456000107,Horizon,1,Nathan Medina
Meeker And Wright Special Education,Special education school,MN,270004502960,Apex,1,Samantha Jackson
Rhinebeck Central School District,Regular school,NY,362448003343,Odyssey,1,Jacob Key
Danbury School District,Regular school,CT,90102001438,Genesis,3,Larry Howard
Silverton School District No. 1 In The County Of San Juan,Regular school,CO,80657001137,Luminary,1,Sharon Coleman
La Joya Isd,Regular school,TX,482613008658,Genesis,1,Nancy Carroll
Wilkes-Barre Area Sd,Regular school,PA,422630000294,Horizon,3,Mathew Clarke
Pottsgrove Sd,Regular school,PA,421965003336,Luminary,1,Andrew Woodward
Elizabeth City-Pasquotank Public Schools,Regular school,NC,370354002537,Odyssey,1,Karla Henson
Wake County Schools,Regular school,NC,370472001872,Genesis,3,Jacqueline Barnes
Polk,Regular school,FL,120159001735,Apex,3,Emily Levy
Greater Latrobe Sd,Regular school,PA,421098004845,Odyssey,3,Sean Green
District Of Columbia Public Schools,Regular school,DC,110003000067,Luminary,2,Andrew Woodward
Harrisburg City Sd,Regular school,PA,421158007483,Endeavor,3,Mackenzie Rice
Beaufort 01,Regular school,SC,450111000147,Odyssey,2,Jacob Key
Oak Hills Local,Regular school,OH,390473702873,Apex,1,Gregory Ruiz
Kern High,Regular school,CA,61954002041,Luminary,2,Anthony Reid
Macks Creek R-V,Regular school,MO,291938001049,Apex,2,Emily Levy
Charlotte-Mecklenburg Schools,Regular school,NC,370297001229,Genesis,2,Jacqueline Barnes
Jersey City Public Schools,Regular school,NJ,340783003395,Luminary,2,Tina Johnson
New York City Geographic District #32,Regular school,NY,360009706331,Apex,3,Samantha Jackson
Camden County,Regular school,GA,130078001875,Odyssey,1,Jacob Key
Muscatine Comm School District,Regular school,IA,192013001195,Endeavor,1,Mackenzie Rice
Wood County Schools,Regular school,WV,540162001161,Genesis,2,Dana Gray
Stockdale Isd,Alternative Education School,TX,484161011115,Odyssey,1,Eric Rose
Berlin Township School District,Regular school,NJ,340162001332,Luminary,1,Catherine Wood
Murray District,Special education school,UT,490060001248,Endeavor,3,Laura Callahan
San Mateo-Foster City,Regular school,CA,63492005905,Endeavor,1,Tiffany Nash
Desert Sands Unified,Regular school,CA,61111011244,Luminary,2,Amanda Becker
San Ramon Valley Unified,Regular school,CA,63513005943,Odyssey,3,Eileen Williams
Rockford Sd 205,Regular school,IL,173451003580,Endeavor,2,Dennis Meyer
Phoenix Academy Public Charter High School Lawrence (Distric,Regular school,MA,250059002886,Endeavor,3,Joshua Grant
Circle,Regular school,KS,201230000802,Apex,2,Brian Lowe
Delhi Unified,Regular school,CA,60003901212,Genesis,2,Jacqueline Barnes
Mineral County School District,Regular school,NV,320033000183,Luminary,2,Brandon Berry
Pell City,Regular school,AL,10265001722,Odyssey,1,Troy Collins
Delta County Joint District No. 50,Regular school,CO,80333000293,Apex,3,Deborah Bell
North Collins Central School District,Regular school,NY,362097002978,Luminary,2,Brandon Berry
Academy Isd,Regular school,TX,480747006348,Luminary,2,Jason Owen
Lexington Isd,Regular school,TX,482733003076,Apex,2,Samantha Jackson
Albert Lea Public School District,Regular school,MN,270297000068,Endeavor,1,Tiffany Nash
Talihina,Regular school,OK,402940001548,Genesis,1,Alexander Harmon
Puerto Rico Department Of Education,Regular school,PR,720003001944,Endeavor,3,Joshua Grant
Gloucester Co Pblc Schs,Regular school,VA,510162002188,Endeavor,3,Connor Banks
Rsu 71,Regular school,ME,231482200440,Luminary,2,Jackson Martinez
Anderson 05,Regular school,SC,450090001574,Genesis,1,Nancy Carroll
Central Heights,Regular school,KS,200001400454,Apex,2,Deborah Bell
Ashtabula Area City,Regular school,OH,390435100090,Apex,3,Samantha Jackson
Martinez Unified,Alternative Education School,CA,62403007071,Apex,2,Henry Gordon
Eatontown Public School District,Regular school,NJ,340441003770,Apex,3,Benjamin Mcneil
Marais Des Cygnes Valley,Regular school,KS,200948001167,Luminary,1,Brandon Berry
Montgomery County Public Schools,Regular school,MD,240048000956,Endeavor,2,Mackenzie Rice
Chesapeake City Pblc Schs,Career and Technical School,VA,510081000285,Apex,1,Samantha Jackson
Wilton Comm School District,Regular school,IA,193180001850,Genesis,2,Debra Smith
Hilliard City,Regular school,OH,390470104609,Apex,1,Candice Ramos
Mokena Sd 159,Regular school,IL,172637002802,Luminary,1,Jordan Walker
Hillsboro Deering Coop School District,Regular school,NH,330375000165,Genesis,1,Cynthia Oliver
Regional School District 05,Regular school,CT,90366001114,Luminary,2,Amanda Becker
Oxnard,Regular school,CA,62922004504,Endeavor,1,Laura Callahan
Dry Creek Joint Elementary,Regular school,CA,61149013755,Endeavor,2,Joshua Grant
Mesa Unified District (4235),Regular school,AZ,40497001375,Luminary,2,Jordan Walker
Manor Isd,Regular school,TX,482889006581,Luminary,1,Andrew Woodward
Harrah,Regular school,OK,401389001916,Luminary,1,Tina Johnson
Yancey County Schools,Regular school,NC,370507003497,Apex,1,Emily Levy
Intermediate School District 917,Alternative Education School,MN,270002604516,Horizon,3,Jared Hernandez
Monroe Central School Corp,Regular school,IN,180708002226,Genesis,1,Larry Howard
Holmes,Regular school,FL,120090001046,Luminary,1,Sharon Coleman
Greenville 01,Regular school,SC,450231000572,Luminary,3,Catherine Wood
New York City Geographic District #10,Regular school,NY,360008705550,Luminary,1,Jason Owen
Baltimore City Public Schools,Regular school,MD,240009000147,Luminary,2,Sharon Coleman
Lebanon Community School Corp,Regular school,IN,180579001040,Odyssey,3,Eileen Williams
Trinity Alps Unified,Regular school,CA,60133106605,Luminary,1,Jackson Martinez
Fresno Unified,Regular school,CA,61455008841,Endeavor,3,Laura Callahan
Goodland,Regular school,KS,200658000717,Odyssey,1,Eileen Williams
Randolph County Schools,Regular school,WV,540126001371,Luminary,1,Sharon Coleman
Lamar County,Regular school,GA,130321001294,Genesis,3,Stephanie Arroyo
School District No. 1 In The County Of Denver And State Of C,Regular school,CO,80336001522,Luminary,3,Amanda Becker
Rockford Sd 205,Regular school,IL,173451003559,Endeavor,1,Stacey Mays
Klamath County Sd,Regular school,OR,410702000501,Genesis,1,Stephanie Arroyo
Area Vocational Technical Schools Of Mercer County,Career and Technical School,NJ,340995003178,Odyssey,1,Eileen Williams
Folsom Borough School District,Regular school,NJ,340528000104,Apex,3,Candice Ramos
Pearland Isd,Regular school,TX,483444011561,Odyssey,1,Troy Collins
Newton County,Regular school,GA,130393001023,Horizon,3,Nathan Medina
Sheridan School District No. 2,Regular school,CO,80654000032,Genesis,3,Stephanie Arroyo
Ephrata School District,Regular school,WA,530261000386,Endeavor,1,Bobby Curry
Puerto Rico Department Of Education,Regular school,PR,720003001277,Apex,1,Matthew King
City Schools Of Decatur,Regular school,GA,130168000802,Luminary,1,Sharon Coleman
George Gervin Academy,Alternative Education School,TX,480001410415,Luminary,2,Jason Owen
New York City Geographic District #31,Career and Technical School,NY,360010302861,Luminary,2,Jackson Martinez
Los Fresnos Cisd,Alternative Education School,TX,482829011868,Endeavor,1,Morgan Ramirez
Jubilee Academies,Regular school,TX,480017912723,Luminary,1,Jason Owen
Athens City,Regular school,OH,390435200102,Luminary,2,Tina Johnson
Canton Isd,Regular school,TX,481275000768,Apex,3,Benjamin Mcneil
Richland 01,Regular school,SC,450336000930,Horizon,2,Diana Joseph
Anderson 05,Regular school,SC,450090001576,Apex,3,Emily Levy
Holly Springs School Dist,Regular school,MS,280195000335,Apex,3,Samantha Jackson
Oconee 01,Regular school,SC,450306000825,Luminary,1,Andrew Woodward
Spartanburg 01,Regular school,SC,450348000984,Genesis,3,Cynthia Oliver
Aurora R-Viii,Regular school,MO,290402002981,Luminary,1,Catherine Wood
Bradley County,Regular school,TN,470033002224,Apex,1,Brian Lowe
Union Co/Clg Corner Joint Sch Dist,Regular school,IN,181161001870,Apex,2,Deborah Bell
Fort Worth Isd,Alternative Education School,TX,481970021053,Odyssey,3,Eileen Williams
Clear Lake School District,Regular school,WI,550261000293,Luminary,2,Amanda Becker
Kansas City,Regular school,KS,200795001437,Horizon,3,Nathan Medina
Enterprise City,Regular school,AL,10132000481,Odyssey,1,Erika Stewart
Caldwell County Schools,Regular school,NC,370058000229,Apex,1,Emily Levy
Pine Island Public School District,Alternative Education School,MN,272895004803,Endeavor,3,Bobby Curry
Hanford Joint Union High,Regular school,CA,61650014320,Apex,3,Benjamin Mcneil
Humphreys Co School Dist,Regular school,MS,280204001039,Apex,1,Deborah Bell
Madison Co School Dist,Regular school,MS,280279000988,Luminary,3,Brandon Berry
Amador County Unified,Alternative Education School,CA,60245006975,Odyssey,3,Valerie Morales
Austin Isd,Regular school,TX,480894000341,Apex,1,Benjamin Mcneil
Atlanta Public Schools,Regular school,GA,130012002453,Apex,1,Gregory Ruiz
Baltimore City Public Schools,Regular school,MD,240009000234,Apex,3,Benjamin Mcneil
Edmonds School District,Alternative Education School,WA,530240000338,Genesis,2,Mary Castro
Savannah-Chatham County,Regular school,GA,130102000386,Apex,2,Benjamin Mcneil
Vaughn Municipal Schools,Regular school,NM,350000100608,Endeavor,3,Morgan Ramirez
Henrico Co Pblc Schs,Regular school,VA,510189000827,Apex,2,Candice Ramos
Spring Lake Park Public Schools,Regular school,MN,273333001467,Apex,3,Benjamin Mcneil
International Leadership Of Texas (Iltexas),Regular school,TX,480144013267,Apex,3,Brian Lowe
Office Of Education Department Of Children And Families,Alternative Education School,NJ,340008503317,Odyssey,3,Steven Lamb
Penncrest Sd,Regular school,PA,421874006137,Horizon,3,Diana Joseph
San Bernardino City Unified,Regular school,CA,63417011107,Endeavor,2,Laura Callahan
San Ramon Valley Unified,Regular school,CA,63513000289,Apex,2,Samantha Jackson
Paint Rock Isd,Regular school,TX,483398003779,Luminary,1,Andrew Woodward
Lakeport Unified,Regular school,CA,62067002484,Apex,3,Gregory Ruiz
San Bernardino City Unified,Regular school,CA,63417011107,Apex,3,Deborah Bell
Simpson County,Alternative Education School,KY,210540001652,Luminary,1,Catherine Wood
Miami-Dade,Alternative Education School,FL,120039002555,Luminary,1,Jordan Walker
Trinidad Union Elementary,Regular school,CA,63972006602,Horizon,3,Diana Joseph
Belgrade-Brooten-Elrosa School Dist,Regular school,MN,270010500182,Apex,2,Emily Levy
Hazen School District,Regular school,AR,50753000464,Luminary,2,Andrew Woodward
Woodford Cty Special Ed Assoc,Special education school,IL,170143706695,Apex,3,Emily Levy
Brushy,Regular school,OK,400558000214,Apex,2,Henry Gordon
Rowan-Salisbury Schools,Regular school,NC,370405002850,Apex,2,Gregory Ruiz
Greene County Comm School District,Regular school,IA,191521000919,Horizon,3,Blake Martin
Dekalb County,Regular school,GA,130174000710,Horizon,2,Blake Martin
Rsu 23,Regular school,ME,231478400240,Genesis,1,Mary Castro
Portland Sd 1J,Regular school,OR,411004000865,Genesis,1,Debra Smith
Newark Public School District,Regular school,NJ,341134002334,Genesis,1,Stephanie Arroyo
Mcnairy County,Regular school,TN,470288000997,Apex,1,Emily Levy
Farmington Municipal Schools,Regular school,NM,350099000289,Apex,2,Gregory Ruiz
Bishop Cisd,Regular school,TX,481026000510,Luminary,3,Tina Johnson
Wall School District 51-5,Regular school,SD,467566000705,Odyssey,3,Eric Rose
Crane Elementary District (4501),Regular school,AZ,40240000171,Luminary,3,Catherine Wood
Carbon District,Regular school,UT,490015000098,Luminary,1,Sharon Coleman
San Luis Obispo County Office Of Education,Special education school,CA,69103209247,Endeavor,3,Morgan Ramirez
Townsend North Community School,Regular school,OH,390145005693,Luminary,1,Jordan Walker
Rule Isd,Regular school,TX,483828004270,Horizon,1,Nathan Medina
Collier,Regular school,FL,120033008842,Horizon,1,Timothy Allen
Highline School District,Regular school,WA,530354000544,Genesis,2,Mary Castro
Santa Rita Union Elementary,Regular school,CA,63579007870,Luminary,3,Andrew Woodward
Capistrano Unified,Regular school,CA,60744014361,Luminary,2,Jordan Walker
Forest Hills Local,Regular school,OH,390473402847,Luminary,3,Jordan Walker
East Central Isd,Regular school,TX,481785013840,Luminary,1,Sharon Coleman
Fort Wayne Community Schools,Regular school,IN,180363000540,Luminary,2,Jordan Walker
Waseca Public School District,Regular school,MN,274188001747,Odyssey,2,Sean Green
Dallas Isd,Regular school,TX,481623001301,Apex,1,Gregory Ruiz
Vancouver School District,Special education school,WA,530927002554,Luminary,1,Anthony Reid
East Syracuse Minoa Central School District,Regular school,NY,360999000773,Luminary,1,Andrew Woodward
Williamsport Area Sd,Regular school,PA,422646006367,Apex,3,Samantha Jackson
New York City Geographic District # 7,Regular school,NY,360008405920,Luminary,2,Jason Owen
Toppenish School District,Regular school,WA,530897001531,Luminary,3,Tina Johnson
Norfolk City Pblc Schs,Regular school,VA,510267001144,Genesis,2,Dana Gray
East Feliciana Parish,Regular school,LA,220060000715,Horizon,1,Nathan Medina
Marvell School District,Regular school,AR,50951000694,Luminary,3,Jackson Martinez
Region 6 And 8-Sw/Wc Service Coop,Special education school,MN,270008604353,Odyssey,1,Steven Lamb
Lower Kuskokwim School District,Regular school,AK,20000100408,Luminary,3,Andrew Woodward
Downtown College Prep - Alum Rock District,Regular school,CA,60165612827,Luminary,2,Amanda Becker
City Of Chicago Sd 299,Regular school,IL,170993001143,Endeavor,1,Laura Callahan
Salem R-80,Regular school,MO,292709001678,Endeavor,3,Morgan Ramirez
Cleveland,Regular school,TN,470069000061,Luminary,2,Tina Johnson
La Vega Isd,Regular school,TX,482628006129,Luminary,2,Anthony Reid
Baltimore County Public Schools,Regular school,MD,240012000410,Luminary,1,Andrew Woodward
Haywood County Schools,Regular school,NC,370204000906,Endeavor,3,Joshua Grant
Temecula Valley Unified,Regular school,CA,60002811042,Apex,1,Henry Gordon
Charleston 01,Regular school,SC,450144000215,Odyssey,3,Troy Collins
Prince George'S County Public Schools,Regular school,MD,240051001097,Apex,3,Emily Levy
Henry Co. R-I,Regular school,MO,293211002254,Apex,3,Samantha Jackson
Syosset Central School District,Regular school,NY,362856003837,Odyssey,1,Troy Collins
Silver Consolidated Schools,Regular school,NM,350243000565,Genesis,2,Alexander Harmon
Lake Arthur Municipal Schools,Regular school,NM,350147000374,Luminary,2,Jackson Martinez
Denair Unified,Regular school,CA,61104008653,Genesis,1,Stephanie Arroyo
Camanche Comm School District,Regular school,IA,190606000206,Odyssey,2,Tony Hoffman
Trinity Alps Unified,Alternative Education School,CA,60133106604,Odyssey,2,Eric Rose
Broward,Regular school,FL,120018000204,Genesis,3,Jacqueline Barnes
St. Tammany Parish,Regular school,LA,220165001277,Genesis,2,Dana Gray
Plainview-Elgin-Millville,Regular school,MN,270028703714,Genesis,1,Jacqueline Barnes
Los Angeles Unified,Regular school,CA,62271014112,Luminary,3,Jackson Martinez
Union County Public Schools,Regular school,NC,370462002801,Horizon,2,Hayden Mills
Saugus Union,Regular school,CA,63597006154,Odyssey,1,Tony Hoffman
Princeton Joint Unified,Regular school,CA,63162004901,Luminary,2,Brandon Berry
Midd-West Sd,Regular school,PA,421521003962,Odyssey,1,Troy Collins
East Syracuse Minoa Central School District,Regular school,NY,360999000778,Genesis,2,Alexander Harmon
Pasco,Regular school,FL,120153002937,Genesis,3,Larry Howard
Barnwell 80,Career and Technical School,SC,450098000127,Apex,2,Matthew King
Seattle School District No. 1,Regular school,WA,530771001249,Genesis,1,Debra Smith
Arlington School District 38-1,Regular school,SD,460372001381,Genesis,2,Jacqueline Barnes
Castro Valley Unified,Alternative Education School,CA,60780000744,Luminary,1,Amanda Becker
School District No. 1 In The County Of Denver And State Of C,Regular school,CO,80336006522,Apex,3,Deborah Bell
Schertz-Cibolo-U City Isd,Regular school,TX,483948012975,Luminary,2,Jackson Martinez
Newton County,Regular school,GA,130393001459,Luminary,3,Tina Johnson
Loomis Public Schools,Regular school,NE,317299001189,Endeavor,1,Bobby Curry
Merrick Academy-Queens Public Charter School,Regular school,NY,360005504777,Luminary,2,Catherine Wood
Riverbank Unified,Alternative Education School,CA,60006111814,Endeavor,3,Dennis Meyer
Dodgeland School District,Regular school,WI,550726000787,Apex,2,Deborah Bell
Bloomsburg Area Sd,Regular school,PA,420384001612,Apex,1,Gregory Ruiz
Clark County School District,Regular school,NV,320006000291,Apex,3,Michael Massey
Medford Sd 549C,Regular school,OR,410804000443,Apex,2,Brian Lowe
Glendale Unified,Regular school,CA,61524001929,Apex,1,Gregory Ruiz
Harrison School District No. 2 In The County Of El Paso An,Regular school,CO,80453001370,Genesis,3,Dana Gray
Coatesville Area Sd,Regular school,PA,420624000728,Apex,3,Matthew King
Newton County,Regular school,GA,130393001459,Odyssey,1,Erika Stewart
White Co. Central School Dist.,Regular school,AR,50417000155,Luminary,2,Jackson Martinez
Sahuarita Unified District (4411),Regular school,AZ,40730000627,Luminary,2,Jackson Martinez
Green Mountain School District,Regular school,WA,530330000509,Apex,3,Brian Lowe
Milwaukee School District,Regular school,WI,550960001178,Horizon,3,Diana Joseph
Orange,Regular school,FL,120144001379,Luminary,1,Tina Johnson
Matanuska-Susitna Borough School District,Career and Technical School,AK,20051000731,Odyssey,1,Eric Rose
Lee County School District,Regular school,MS,280255000496,Luminary,2,Anthony Reid
Jefferson County School District No. R-1,Regular school,CO,80480000711,Apex,1,Emily Levy
School District No. 1 In The County Of Denver And State Of C,Regular school,CO,80336006592,Odyssey,3,Sean Green
Fort Bend Isd,Regular school,TX,481965001824,Apex,3,Candice Ramos
Burleson Isd,Regular school,TX,481218012263,Apex,3,Gregory Ruiz
Arts Based School,Regular school,NC,370012602611,Luminary,1,Jason Owen
West Central Il Spec Educ Coop,Special education school,IL,170027205700,Apex,2,Benjamin Mcneil
West Las Vegas Public Schools,Regular school,NM,350156000412,Luminary,2,Jordan Walker
Newport,Career and Technical School,RI,440072000460,Luminary,3,Jackson Martinez
Connecticut Technical Education And Career System,Career and Technical School,CT,90000201144,Genesis,3,Stephanie Arroyo
Tustin Unified,Regular school,CA,64015006633,Genesis,1,Alexander Harmon
Bowler School District,Regular school,WI,550156000200,Endeavor,2,Randy Chavez
Kentucky Tech System,Career and Technical School,KY,210028902170,Horizon,1,Diana Joseph
Erie City Sd,Regular school,PA,420930007142,Apex,1,Matthew King
La Crosse School District,Regular school,WI,550753000865,Luminary,3,Andrew Woodward
Hillsborough,Regular school,FL,120087006873,Luminary,1,Jason Owen
Rutherford County Schools,Regular school,NC,370408001283,Apex,2,Emily Levy
Institutional Educational Programs,Alternative Education School,WV,540051101471,Genesis,1,Nancy Carroll
Polk,Regular school,FL,120159001735,Horizon,2,Jared Hernandez
Atwater Elementary,Regular school,CA,60342013051,Luminary,1,Tina Johnson
Southwest School Corporation,Regular school,IN,181086002584,Luminary,3,Jordan Walker
Lake Geneva J1 School District,Regular school,WI,550762000883,Endeavor,3,Mackenzie Rice
Minneapolis Public School District,Regular school,MN,272124001865,Odyssey,1,Jacob Key
Broward,Regular school,FL,120018000171,Odyssey,1,Eric Rose
Nye County School District,Alternative Education School,NV,320036000557,Apex,3,Samantha Jackson
South Washington County School Dist,Regular school,MN,273381003198,Genesis,3,Stephanie Arroyo
Alliance Patti & Peter Neuwirth Leadership Academy District,Regular school,CA,60236211632,Apex,1,Emily Levy
Newport News City Pblc Schs,Regular school,VA,510264002857,Luminary,2,Brandon Berry
Alachua,Regular school,FL,120003002975,Apex,3,Samantha Jackson
Lexington Isd,Regular school,TX,482733006292,Odyssey,3,Erika Stewart
Cusd 300,Regular school,IL,170855000493,Odyssey,2,Steven Lamb
Mojave Unified,Regular school,CA,62523003773,Horizon,3,Jared Hernandez
Byron-Bergen Central School District,Regular school,NY,360609000393,Endeavor,3,Mackenzie Rice
Clinton,Regular school,OK,400807000338,Odyssey,2,Tony Hoffman
South Orange-Maplewood School District,Regular school,NJ,341533002432,Apex,2,Gregory Ruiz
St Clair County,Regular school,AL,10306202485,Odyssey,2,Steven Lamb
Libertyville Sd 70,Regular school,IL,172280002527,Luminary,1,Anthony Reid
Tigard-Tualatin Sd 23J,Regular school,OR,411224001668,Endeavor,1,Randy Chavez
Omaha Public Schools,Alternative Education School,NE,317482001391,Odyssey,2,Erika Stewart
Miami-Dade,Regular school,FL,120039007242,Genesis,2,Nancy Carroll
Davis Joint Unified,Regular school,CA,61062010456,Apex,1,Michael Massey
Abc Unified,Regular school,CA,60162000024,Genesis,2,Alexander Harmon
Imperial Unified,Regular school,CA,61821008489,Genesis,1,Debra Smith
Puerto Rico Department Of Education,Regular school,PR,720003001181,Endeavor,3,Bobby Curry
Carroll County Public Schools,Regular school,MD,240021000553,Genesis,3,Dana Gray
Glendale Union High School District (4285),Regular school,AZ,40345000280,Luminary,3,Andrew Woodward
Farwell Isd,Regular school,TX,481911001781,Apex,3,Matthew King
Floyd County,Regular school,KY,210195002276,Luminary,3,Jordan Walker
Troup Isd,Regular school,TX,484323004911,Endeavor,3,Morgan Ramirez
Millard District,Regular school,UT,490054000359,Endeavor,3,Mackenzie Rice
Stanton County,Regular school,KS,200786001145,Genesis,2,Jacqueline Barnes
Jefferson County,Regular school,KY,210299000697,Luminary,3,Jackson Martinez
Lodi Unified,Regular school,CA,62223002650,Luminary,1,Jackson Martinez
Big Horn County School District #1,Regular school,WY,560142000428,Luminary,3,Andrew Woodward
Rapid City Area School District 51-4,Special education school,SD,465982001072,Apex,1,Samantha Jackson
Benjamin Franklin Charter School - Queen Creek (4355),Regular school,AZ,40006503395,Genesis,3,Alexander Harmon
University Of Texas University Charter School,Alternative Education School,TX,480007109408,Luminary,3,Tina Johnson
Oak Hill Union Local,Regular school,OH,390477604624,Odyssey,2,Jacob Key
Jackson County,Regular school,TN,470207000661,Endeavor,2,Randy Chavez
Hurley R-I,Regular school,MO,291539000700,Odyssey,2,Steven Lamb
Cheshire School District,Regular school,CT,90075000122,Apex,1,Gregory Ruiz
Gwinnett County,Regular school,GA,130255002903,Genesis,1,Stephanie Arroyo
Mariemont City,Regular school,OH,390443101241,Horizon,3,Amy Carter
Northside Isd,Regular school,TX,483312000354,Endeavor,2,Tiffany Nash
Akron City,Regular school,OH,390434800029,Apex,2,Benjamin Mcneil
Mt. Diablo Unified,Regular school,CA,62637007319,Odyssey,2,Jacob Key
Douglas County School District No. Re 1,Regular school,CO,80345000436,Luminary,3,Jason Owen
York Central School District,Regular school,NY,363195004279,Genesis,3,Larry Howard
Napa Valley Unified,Regular school,CA,62664011258,Apex,3,Brian Lowe
Monte Vista School District No. C-8,Regular school,CO,80576000985,Apex,3,Michael Massey
Newburgh City School District,Regular school,NY,362070002901,Apex,1,Candice Ramos
Effingham County,Regular school,GA,130198001170,Genesis,2,Cynthia Oliver
State-Sponsored Charter Schools,Regular school,NV,320000100887,Endeavor,1,Dennis Meyer
Hillside Elementary District (4482),Regular school,AZ,40846000800,Apex,3,Henry Gordon
Justice,Regular school,OK,401590000748,Luminary,1,Tina Johnson
Groveport Community School,Regular school,OH,390064005351,Odyssey,3,Karla Henson
Hogan Preparatory Academy,Regular school,MO,290001403222,Odyssey,1,Eric Rose
Albion Central School District,Regular school,NY,360252000034,Horizon,2,Nathan Medina
Oracle Elementary District (4444),Regular school,AZ,40564001416,Apex,3,Michael Massey
Laurens 56,Regular school,SC,450264000702,Apex,1,Samantha Jackson
Polaris Elem,Regular school,MT,302103000629,Genesis,1,Alexander Harmon
Jacksonville Sd 117,Regular school,IL,172028006395,Endeavor,1,Morgan Ramirez
Frederick County Public Schools,Regular school,MD,240033001566,Odyssey,2,Troy Collins
Oceanside Unified,Regular school,CA,62825004370,Luminary,1,Catherine Wood
Wausa Public Schools,Regular school,NE,317845001695,Luminary,2,Jordan Walker
Fontana Unified,Regular school,CA,61392009137,Endeavor,2,Bobby Curry
Alachua,Regular school,FL,120003000014,Genesis,3,Alexander Harmon
Henniker School District,Regular school,NH,330369000161,Endeavor,3,Mackenzie Rice
Williamsport Area Sd,Regular school,PA,422646007508,Apex,2,Henry Gordon
Tempe School District (4258),Regular school,AZ,40831000786,Luminary,2,Anthony Reid
Moore County Schools,Regular school,NC,370309002331,Luminary,3,Tina Johnson
Bowbells 14,Regular school,ND,380309000069,Horizon,3,Hayden Mills
Sd U-46,Regular school,IL,171371005612,Luminary,2,Tina Johnson
Sheffield City,Regular school,AL,10300000160,Genesis,2,Cynthia Oliver
Hopkins County,Regular school,KY,210286001473,Apex,2,Benjamin Mcneil
Kearny,Regular school,NJ,340789002870,Apex,1,Deborah Bell
Morongo Unified,Regular school,CA,62586005039,Genesis,2,Cynthia Oliver
Anacortes School District,Regular school,WA,530015000015,Luminary,3,Jordan Walker
Grady County,Regular school,GA,130246001083,Horizon,2,Blake Martin
Plainfield Community School Corp,Regular school,IN,180897001495,Apex,2,Henry Gordon
Fairbanks North Star Borough School District,Regular school,AK,20060000652,Luminary,2,Jackson Martinez
Adams Central Community Schools,Regular school,IN,180006000007,Apex,3,Samantha Jackson
Vance County Schools,Regular school,NC,370465003169,Odyssey,2,Troy Collins
Capitol Region Education Council,Regular school,CT,90070001601,Luminary,2,Jordan Walker
Kansas City,Regular school,KS,200795002094,Odyssey,3,Valerie Morales
Duval,Alternative Education School,FL,120048001571,Odyssey,3,Valerie Morales
Flagler,Regular school,FL,120054008695,Luminary,1,Tina Johnson
Birmingham City,Regular school,AL,10039001484,Horizon,2,Raven Bowman
Pim Arts High School,Regular school,MN,270034904096,Luminary,3,Sharon Coleman
Township Of Ocean School District,Regular school,NJ,341206004064,Endeavor,3,Stacey Mays
Refugio Isd,Regular school,TX,483678012861,Apex,3,Deborah Bell
East Valley Institute Of Technology (4516),Career and Technical School,AZ,40973102502,Luminary,1,Brandon Berry
Tacoma School District,Regular school,WA,530870001457,Luminary,2,Andrew Woodward
Vermilion Parish,Regular school,LA,220180001695,Genesis,2,Debra Smith
Pinellas,Regular school,FL,120156003108,Luminary,3,Jordan Walker
Cass Sd 63,Regular school,IL,170879000520,Endeavor,3,Joshua Grant
Verdigris,Regular school,OK,403111002277,Luminary,2,Andrew Woodward
Middletown School District,Regular school,CT,90249000462,Apex,3,Gregory Ruiz
Gateway Sd,Regular school,PA,421062009980,Apex,1,Michael Massey
Richmond County Schools,Regular school,NC,370387002278,Apex,1,Henry Gordon
Wake County Schools,Regular school,NC,370472003351,Odyssey,2,Steven Lamb
Worcester County Public Schools,Career and Technical School,MD,240072001091,Luminary,3,Jackson Martinez
Miami-Dade,Regular school,FL,120039000594,Luminary,1,Amanda Becker
Paradise Valley Unified District (4241),Regular school,AZ,40593000488,Luminary,2,Jordan Walker
Edinburgh Community School Corp,Regular school,IN,180324000422,Genesis,3,Cynthia Oliver
Berkeley Township School District,Regular school,NJ,340156006125,Genesis,1,Nancy Carroll
Charlotte-Mecklenburg Schools,Regular school,NC,370297001216,Luminary,1,Andrew Woodward
Abington Sd,Regular school,PA,420204004910,Horizon,2,Nathan Medina
Lakeview School District,Regular school,MN,270008800407,Apex,3,Deborah Bell
Minneapolis Public School District,Regular school,MN,272124001037,Luminary,2,Brandon Berry
Houston Isd,Regular school,TX,482364008611,Odyssey,3,Eric Rose
New York City Geographic District #10,Regular school,NY,360008705760,Luminary,2,Jackson Martinez
Froid Elem,Regular school,MT,301155001048,Apex,3,Emily Levy
Homewood Flossmoor Chsd 233,Regular school,IL,171956002235,Genesis,2,Larry Howard
Grand Coulee Dam School District,Regular school,WA,530313000496,Horizon,3,Blake Martin
San Diego County Office Of Education,Special education school,CA,69103009244,Odyssey,2,Troy Collins
Bennett School District No. 29J,Regular school,CO,80243000093,Endeavor,3,Stacey Mays
Decatur Isd,Regular school,TX,481650001406,Luminary,3,Jordan Walker
Campbell Co Pblc Schs,Alternative Education School,VA,510060002332,Apex,3,Gregory Ruiz
Joplin Schools,Regular school,MO,291635000780,Luminary,3,Jackson Martinez
Thomas County,Regular school,GA,130489002146,Luminary,2,Sharon Coleman
